X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,Y
14.4,12,130,2.11,1.89,2.27,1.51,0.07,0.3,0.48,0.21,3.98,1.2,1.19,6.8,0.36,2.39943
8.4,10,130,1.848,1.892,1.892,1.3244,0.05236,0.37532,0.39747,0.18583,3.982,0.99587,1.04515,3.402,0.21,2.32627
8.4,10,130,2.376,1.892,1.892,1.3244,0.06732,0.37532,0.39747,0.23892,3.982,0.99587,1.34376,4.374,0.27,2.41027
8.4,10,130,2.904,1.892,1.892,1.3244,0.08228,0.37532,0.39747,0.2919,3.982,0.99587,1.64237,5.346,0.33,2.47186
8.4,10,130,3.696,1.892,1.892,1.3244,0.09724,0.37532,0.39747,0.34511,3.982,0.99587,1.94099,6.318,0.39,2.72031
10.8,10,130,2.904,1.892,1.892,1.3244,0.05236,0.37532,0.39747,0.29,3.982,0.99587,1.04515,4.374,0.27,3.34105
10.8,10,130,3.696,1.892,1.892,1.3244,0.06732,0.37532,0.39747,0.34511,3.982,0.99587,1.34,3.4,0.21,3.80284
10.8,10,130,1.848,1.892,1.892,1.3244,0.08228,0.37532,0.39747,0.19,3.982,0.99587,1.64,6.32,0.39,4.20588
10.8,10,130,2.376,1.892,1.892,1.3244,0.09724,0.37532,0.39747,0.24,3.982,0.99587,1.94,5.346,0.33,4.85785
13.2,10,130,2.376,1.892,1.892,1.3244,0.06732,0.37532,0.39747,0.19,3.982,0.99587,1.04515,6.32,0.33,3.08586
13.2,10,130,2.904,1.892,1.892,1.3244,0.08228,0.37532,0.39747,0.34511,3.982,0.99587,1.94,3.4,0.27,3.25002
13.2,10,130,3.696,1.892,1.892,1.3244,0.09724,0.37532,0.39747,0.29,3.982,0.99587,1.64,4.374,0.21,3.07881
15.6,10,130,3.696,1.892,1.892,1.3244,0.06732,0.37532,0.39747,0.29,3.982,0.99587,1.04515,5.346,0.39,3.56725
15.6,10,130,1.848,1.892,1.892,1.3244,0.08228,0.37532,0.39747,0.24,3.982,0.99587,1.94,4.374,0.21,4.12394
8.4,10,130,2.376,1.892,1.892,1.7028,0.05236,0.37532,0.39747,0.29,3.982,0.99587,1.94,3.4,0.39,2.3198
8.4,10,130,1.848,1.892,1.892,1.7028,0.06732,0.37532,0.39747,0.34511,3.982,0.99587,1.64,4.374,0.33,2.50083
8.4,10,130,3.696,1.892,1.892,1.7028,0.08228,0.37532,0.39747,0.19,3.982,0.99587,1.34,5.346,0.27,2.49833
10.8,10,130,3.696,1.892,1.892,1.7028,0.05236,0.37532,0.39747,0.19,3.982,0.99587,1.94,4.374,0.33,3.24846
10.8,10,130,2.904,1.892,1.892,1.7028,0.06732,0.37532,0.39747,0.24,3.982,0.99587,1.64,3.4,0.39,3.42151
10.8,10,130,2.376,1.892,1.892,1.7028,0.08228,0.37532,0.39747,0.29,3.982,0.99587,1.34,6.32,0.21,4.00392
10.8,10,130,1.848,1.892,1.892,1.7028,0.09724,0.37532,0.39747,0.34511,3.982,0.99587,1.04515,5.346,0.27,4.4445
13.2,10,130,2.376,1.892,1.892,1.7028,0.05236,0.37532,0.39747,0.34511,3.982,0.99587,1.64,5.346,0.21,3.90388
13.2,10,130,3.696,1.892,1.892,1.7028,0.08228,0.37532,0.39747,0.24,3.982,0.99587,1.04515,3.4,0.33,2.92405
13.2,10,130,2.904,1.892,1.892,1.7028,0.09724,0.37532,0.39747,0.19,3.982,0.99587,1.34,4.374,0.39,3.08313
15.6,10,130,3.696,1.892,1.892,1.7028,0.05236,0.37532,0.39747,0.24,3.982,0.99587,1.64,6.32,0.27,3.02992
15.6,10,130,2.904,1.892,1.892,1.7028,0.06732,0.37532,0.39747,0.19,3.982,0.99587,1.94,5.346,0.21,3.15385
15.6,10,130,2.376,1.892,1.892,1.7028,0.08228,0.37532,0.39747,0.34511,3.982,0.99587,1.04515,4.374,0.39,3.1629
15.6,10,130,1.848,1.892,1.892,1.7028,0.09724,0.37532,0.39747,0.29,3.982,0.99587,1.34,3.4,0.33,3.67018
8.4,10,130,2.376,1.892,1.892,2.0812,0.06732,0.37532,0.39747,0.24,3.982,0.99587,1.34,4.374,0.27,2.48383
8.4,10,130,2.904,1.892,1.892,2.0812,0.08228,0.37532,0.39747,0.29,3.982,0.99587,1.64,5.346,0.33,2.16073
8.4,10,130,3.696,1.892,1.892,2.0812,0.09724,0.37532,0.39747,0.34511,3.982,0.99587,1.94,6.32,0.39,2.41667
10.8,10,130,2.904,1.892,1.892,2.0812,0.05236,0.37532,0.39747,0.29,3.982,0.99587,1.04515,4.374,0.27,3.05358
10.8,10,130,3.696,1.892,1.892,2.0812,0.06732,0.37532,0.39747,0.34511,3.982,0.99587,1.34,3.4,0.21,3.14538
10.8,10,130,1.848,1.892,1.892,2.0812,0.08228,0.37532,0.39747,0.19,3.982,0.99587,1.64,6.32,0.39,3.70083
10.8,10,130,2.376,1.892,1.892,2.0812,0.09724,0.37532,0.39747,0.24,3.982,0.99587,1.94,5.346,0.33,4.3843
13.2,10,130,1.848,1.892,1.892,2.0812,0.05236,0.37532,0.39747,0.24,3.982,0.99587,1.34,5.346,0.39,5.5084
13.2,10,130,2.376,1.892,1.892,2.0812,0.06732,0.37532,0.39747,0.19,3.982,0.99587,1.04515,6.32,0.33,2.9992
13.2,10,130,2.904,1.892,1.892,2.0812,0.08228,0.37532,0.39747,0.34511,3.982,0.99587,1.94,3.4,0.27,3.16358
9.6,10,130,2.64,1.892,1.892,1.892,0.05984,0.30026,0.31797,0.21237,3.1856,0.79669,1.49307,6.804,0.3,2.11153
9.6,10,130,2.64,1.892,1.892,1.892,0.0748,0.37532,0.39747,0.26547,3.982,0.99587,1.79168,4.86,0.36,2.05727
15.6,10,130,2.904,1.892,1.892,2.0812,0.05236,0.37532,0.39747,0.34511,3.982,0.99587,1.34,6.32,0.33,5.60595
15.6,10,130,3.696,1.892,1.892,2.0812,0.06732,0.37532,0.39747,0.29,3.982,0.99587,1.04515,5.346,0.39,3.24525
15.6,10,130,1.848,1.892,1.892,2.0812,0.08228,0.37532,0.39747,0.24,3.982,0.99587,1.94,4.374,0.21,3.62817
15.6,10,130,2.376,1.892,1.892,2.0812,0.09724,0.37532,0.39747,0.19,3.982,0.99587,1.64,3.4,0.27,3.67654
8.4,10,130,2.376,1.892,1.892,2.4596,0.05236,0.37532,0.39747,0.29,3.982,0.99587,1.94,3.4,0.39,2.72681
15.6,10,130,2.376,1.892,1.892,2.4596,0.08228,0.37532,0.39747,0.34511,3.982,0.99587,1.04515,4.374,0.39,2.4752
8.4,10,130,2.904,1.892,1.892,2.4596,0.09724,0.37532,0.39747,0.24,3.982,0.99587,1.04515,6.32,0.21,2.53377
10.8,10,130,3.696,1.892,1.892,2.4596,0.05236,0.37532,0.39747,0.19,3.982,0.99587,1.94,4.374,0.33,4.67874
10.8,10,130,2.904,1.892,1.892,2.4596,0.06732,0.37532,0.39747,0.24,3.982,0.99587,1.64,3.4,0.39,3.36943
10.8,10,130,2.376,1.892,1.892,2.4596,0.08228,0.37532,0.39747,0.29,3.982,0.99587,1.34,6.32,0.21,3.32662
10.8,10,130,1.848,1.892,1.892,2.4596,0.09724,0.37532,0.39747,0.34511,3.982,0.99587,1.04515,5.346,0.27,3.39836
